"id";"title";"artist";"lyrics"
"49";"A Sua";"Marisa Monte";"Eu só quero que você saiba
Que eu estou pensando em você
Agora e sempre mais
Eu só quero que você ouça
A canção que eu fiz pra dizer
Que te adoro cada vez mais
E que eu te quero sempre em paz
To com sintomas de saudade
To pensando em você
Como eu te quero tanto bem
Aonde for não quero dor
Eu tomo conta de você
Pois te quero livre também
Como o tempo vai o vento vem
Eu só quero que você caiba
No meu colo porque
Eu te adoro cada vez mais
Eu só quero que você siga
Para onde quiser
Que eu não vou ficar muito atrás
To com sintomas de saudade
To pensando em você
Como eu te quero tanto bem
Aonde for não quero dor
Eu tomo conta de você
Pois te quero livre também
Como o tempo vai o vento vem
Eu só quero que você saiba
Que eu estou pensando em você
Pois te quero livre também
Como o tempo vai o vento vem
Porque eu te quero livre também
Como o tempo vai o vento vem"
"50";"Resposta";"Skank";"Bem mais que o tempo
Que nós perdemos
Ficou prá trás
Também o que nos juntou...
Ainda lembro
Que eu estava lendo
Só prá saber
O que você achou
Dos versos que eu fiz
Ainda espero
Resposta...
Desfaz o vento
O que há por dentro
Desse lugar
Que ninguém mais pisou...
Você está vendo
O que está acontecendo
Nesse caderno
Sei que ainda estão...
Os versos seus
Tão meus que peço
Nos versos meus
Tão seus que esperem
Que os aceite...
Em paz eu digo que eu sou
O antigo do que vai adiante
Sem mais eu fico onde estou
Prefiro continuar distante...
Bem mais que o tempo
Que nós perdemos
Ficou prá trás
Também o que nos juntou...
Ainda lembro
Que eu estava lendo
Só prá saber
O que você achou...
Dos versos seus
Tão meus que peço
Dos versos meus
Tão seus que esperem
Que os aceite...
Em paz eu digo que eu sou
O antigo do que vai adiante
Sem mais eu fico onde estou
Prefiro continuar distante...(2x)
Desfaz o vento
O que há por dentro
Desse lugar
Que ninguém mais pisou...
Você está vendo
O que está acontecendo
Nesse caderno
Sei que ainda estão...
Os versos seus
Tão meus que peço
Nos versos meus
Tão seus que esperem
Que os aceite...
Em paz eu digo que eu sou
O antigo do que vai adiante
Sem mais eu fico onde estou
Prefiro continuar distante...(3x)"
"51";"Como Eu Quero";"Kid Abelha";"Diz pra eu ficar muda faz cara de mistério
Tira essa bermuda que eu quero você sério
Tramas do sucesso mundo particular
Solos de guitarra não vão me conquistar
Refrão:
Uuuuu! Eu quero você como eu quero (Bis)
O que você precisa é de um retoque total
Vou transformar o seu rascunho em arte final
Agora não tem jeito ""cê"" tá numa cilada
É cada um por si você por mim e mais nada
Refrão:
Uuuuu! Eu quero você como eu quero (Bis)
Longe do meu domínio ""cê"" vai de mal a pior
Vem que eu te ensino como ser bem melhor (Bis)
Refrão:
Uuuuu! Eu quero você como eu quero (Bis)"
"52";"Epitáfio";"Titãs";"Devia ter amado mais Ter chorado mais Ter visto o Sol nascer Devia ter arriscado mais E até errado mais Ter feito o que eu queria fazer Queria ter aceitado As pessoas como elas são Cada um sabe a alegria E a dor que traz no coração O acaso vai me proteger Enquanto eu andar distraído O acaso vai me proteger Enquanto eu andar Devia ter complicado menos Trabalhado menos Ter visto o Sol se pôr Devia ter me importado menos Com problemas pequenos Ter morrido de amor Queria ter aceitado A vida como ela é A cada um cabe alegrias E a tristeza que vier O acaso vai me proteger Enquanto eu andar distraído O acaso vai me proteger Enquanto eu andar O acaso vai me proteger Enquanto eu andar distraído O acaso vai me proteger Enquanto eu andar Devia ter complicado menos Trabalhado menos Ter visto o Sol se pôr"
"53";"Disritmia";"Martinho da Vila";"Disritmia
Eu quero me esconder de baixo
Dessa sua saia
Pra fugir do mundo
Pretendo também me embrenhar no emaranhado desses seus cabelos,
Preciso transfundir seu sangue pro meu coração que é tão vagabundo,
Me deixe te trazer num dengo pra num cafuné fazer os meus apelos,
Eu quero ser exorcizado pela água benta desse olhar infindo
Que bom ser fotografado mas pelas retinas desses olhos lindos
Me deixe hipnotizado pra acabar de vez com essa disritmia
Vem logo vem curar seu negro que chegou de porre lá da boemia
Vem logo vem curar seu negro que chegou de porre lá da boemia."
"54";"Luar do Sertão";"Luiz Gonzaga";"""Não há, ó gente, ó não
Luar como esse do sertão
Não há, ó gente, ó não
Luar como esse do sertão""
Oh! que saudade do luar da minha terra
Lá na serra branquejando folhas secas pelo chão
Este luar cá da cidade tão escuro
Não tem aquela saudade do luar lá do sertão
Não há, ó gente, ó não
Luar como esse do sertão
Não há, ó gente, ó não
Luar como esse do sertão
Se a lua nasce por detrás da verde mata
Mais parece um sol de prata prateando a solidão
E a gente pega na viola que ponteia
E a canção é a Lua Cheia a nos nascer do coração
Não há, ó gente, ó não
Luar como esse do sertão
Não há, ó gente, ó não
Luar como esse do sertão
Mas como é lindo ver depois pro entre o mato
Deslizar calmo regato transparente como um véu
No leito azul das suas águas murmurando
E por sua vez roubando as estrelas lá do céu
Não há, ó gente, ó não
Luar como esse do sertão
Não há, ó gente, ó não
Luar como esse do sertão"
"55";"Ideologia";"Cazuza";"Meu partido
É um coração partido
E as ilusões estão todas perdidas
Os meus sonhos foram todos vendidos
Tão barato que eu nem acredito
Eu nem acredito
Que aquele garoto que ia mudar o mundo
(Mudar o mundo)
Frequenta agora as festas do ""Grand Monde""
Meus heróis morreram de overdose
Meus inimigos estão no poder
Ideologia
Eu quero uma pra viver
Ideologia
Eu quero uma pra viver
O meu prazer
Agora é risco de vida
Meu sex and drugs não tem nenhum rock 'n' roll
Eu vou pagar a conta do analista
Pra nunca mais ter que saber quem eu sou
Pois aquele garoto que ia mudar o mundo
(Mudar o mundo)
Agora assiste a tudo em cima do muro
Meus heróis morreram de overdose
Meus inimigos estão no poder
Ideologia
Eu quero uma pra viver
Ideologia
Eu quero uma pra viver
© Warner Chappell
63540908"
"56";"A Namorada";"Carlinhos Brown";"Ei Bicho
O broto do seu lado
Já teve namorado
E teme um compromisso
Gavião
Há sempre um do seu lado
Se diz gato malhado
Mas não é nada disse
A namorada tem namorada, eta!
A namorada tem namorada
Tem Irmão
Grudado em sua cola na porta da escola
Mas não tem chance não
Pai juiz
A leva pro cinema
Com mais cinco morenas
O que mais sempre quis
A namorada tem namorada,eta!
A namorada tem namorada
eieieieeieiee...
eieieieieieie..
eiea
aiaeia
aiaeia
solo
Tem irmão
Grudado em sua cola
Na porta da escola
Mas não tem chance não
Pai juiz
A leva pro cinema
Com mais cinco morenas
O que mais sempre quis
A namorada tem namorada,eta!
A namorada tem namorada"
"57";"Sampa";"Caetano Veloso";"Alguma coisa acontece no meu coração Que só quando cruzo a Ipiranga e Av. São João É que quando eu cheguei por aqui eu nada entendi Da dura poesia concreta de tuas esquinas Da deselegância discreta de tuas meninas Ainda não havia para mim Rita Lee A tua mais completa tradução Alguma coisa acontece no meu coração Que só quando cruza a Ipiranga e avenida São João Quando eu te encarei frente a frente e não vi o meu rosto Chamei de mau gosto o que vi, de mau gosto, mau gosto É que Narciso acha feio o que não é espelho E à mente apavora o que ainda não é mesmo velho Nada do que não era antes quando não somos mutantes E foste um difícil começo Afasto o que não conheço E quem vende outro sonho feliz de cidade Aprende depressa a chamar-te de realidade Porque és o avesso do avesso do avesso do avesso Do povo oprimido nas filas, nas vilas, favelas Da força da grana que ergue e destrói coisas belas Da feia fumaça que sobe, apagando as estrelas Eu vejo surgir teus poetas de campos, espaços Tuas oficinas de florestas, teus deuses da chuva Pan-Américas de Áfricas utópicas, túmulo do samba Mas possível novo quilombo de Zumbi E os Novos Baianos passeiam na tua garoa E novos baianos te podem curtir numa boa"
"58";"O Mar";"Dorival Caymmi";"O mar quando quebra na praia
É bonito, é bonito
O mar... pescador quando sai
Nunca sabe se volta, nem sabe se fica
Quanta gente perdeu seus maridos seus filhos
Nas ondas do mar
O mar quando quebra na praia
É bonito, é bonito
Pedro vivia da pesca
Saia no barco
Seis horas da tarde
Só vinha na hora do sol raiá
Todos gostavam de Pedro
E mais do que todas
Rosinha de Chica
A mais bonitinha
E mais bem feitinha
De todas as mocinha lá do arraiá
Pedro saiu no seu barco
Seis horas da tarde
Passou toda a noite
Não veio na hora do sol raiá
Deram com o corpo de Pedro
Jogado na praia
Roído de peixe
Sem barco sem nada
Num canto bem longe lá do arraiá
Pobre Rosinha de Chica
Que era bonita
Agora parece
Que endoideceu
Vive na beira da praia
Olhando pras ondas
Andando rondando
Dizendo baixinho
Morreu, morreu, morreu, oh...
O mar quando quebra na praia"
"59";"Pelados em Santos";"Mamonas Assassinas";"Mina,
Seus cabelo é ""da hora"",
Seu corpão violão,
Meu docinho de coco,
Tá me deixando louco.
Minha Brasília amarela
Tá de portas abertas,
Pra mode a gente se amar,
Pelados em Santos.
Pois você minha ""Pitxula"",
Me deixa legalzão,
Não me sinto sozinho,
Você é meu chuchuzinho!
Music is very good! (Oxente ai, ai, ai!)
Mas comigo ela não quer se casar,
Na Brasília amarela com roda gaúcha,
Ela não quer entrar.
Feijão com jabá,
A desgraçada não quer compartilhar.
Mas ela é linda,
Muito mais do que linda,
Very, very beautiful!
Você me deixa doidão!!!
Meu docinho de coco!
Music is very porreta! (Oxente Paraguai!)
Pro Paraguai ela não quis viajar,
Comprei um Reebok e uma calça Fiorucci,
Ela não quer usar.
Eu não sei o que faço
Pra essa mulher eu conquistar.
Por que ela é linda,
Muito mais do que linda,
Very, very beautiful!
Você me deixa doidão!!!
Meu chuchuzinho!
Eu te I love youuuuu!
(perai que tem mais um pouquinho de ""u"")
uuuuuuuuuuuu..."
"60";"Aquele Abraço";"Gilberto Gil";"O Rio de Janeiro continua lindo O Rio de Janeiro continua sendo O Rio de Janeiro, fevereiro e março Alô, alô, Realengo, aquele abraço Alô, torcida do Flamengo, aquele abraço! Alô, alô, Realengo, aquele abraço Alô, torcida do Flamengo, aquele abraço! Chacrinha continua balançando a pança E buzinando a moça, e comandando a massa E continua dando as ordens no terreiro Alô, alô, seu Chacrinha, velho guerreiro Alô, alô, Terezinha, Rio de Janeiro Alô, alô, seu Chacrinha, velho palhaço Alô, alô, Terezinha, aquele abraço! Alô, moça da favela, aquele abraço! Todo mundo da Portela, aquele abraço! Todo mês de fevereiro aquele passo Alô, Banda de Ipanema, aquele abraço! Meu caminho pelo mundo eu mesmo traço A Bahia já me deu régua e compasso Quem sabe de mim sou eu Aquele abraço! Pra você que me esqueceu Aquele abraço! Alô, Rio de Janeiro, aquele abraço! Todo o povo brasileiro, aquele abraço! O Rio de Janeiro continua lindo O Rio de Janeiro continua sendo O Rio de Janeiro, fevereiro e março Alô, alô, Realengo Alô, torcida do Flamengo (aquele abraço!) Alô, alô, Realengo (aquele abraço!) Alô, torcida do Flamengo (aquele abraço!) Chacrinha continua balançando a pança E buzinando a moça, e comandando a massa E continua dando as ordens no terreiro Alô, alô, seu Chacrinha, velho guerreiro Alô, alô, Terezinha Alô, alô, seu Chacrinha Alô, alô, Terezinha, aquele abraço! Alô, moça da favela, aquele abraço! Todo mundo da Portela, aquele abraço! Todo mês de fevereiro aquele passo Alô, Banda de Ipanema, aquele abraço! Meu caminho pelo mundo eu mesmo traço A Bahia já me deu, graças a Deus, régua e compasso Quem sabe de mim sou eu, é claro, aquele abraço! Pra você que me esqueceu Aquele abraço! Alô, Rio de Janeiro, todo mundo, aquele abraço! Todo o povo brasileiro, aquele abraço! Todo mês de fevereiro (aquele abraço!) Alô, moça da favela (aquele abraço!) Todo mundo da Portela, e do Salgueiro, e todo o Rio de Janeiro (aquele abraço!) E todo mês de fevereiro, e todo povo brasileiro, aquele abraço! Alô, minha nega-samba (aquele abraço!) E alô, alô, da pipoca (aquele abraço!) E todo Rio de Janeiro, aquele abraço! E todo povo brasileiro, todo povo brasileiro Todo povo brasileiro, todo povo brasileiro Todo povo brasileiro (aquele abraço!)"
"61";"Exagerado";"Cazuza";"Amor da minha vida Daqui até a eternidade Nossos destinos foram traçados Na maternidade Paixão cruel, desenfreada Te trago mil rosas roubadas Pra desculpar minhas mentiras Minhas mancadas Exagerado Jogado aos teus pés Eu sou mesmo exagerado Adoro um amor inventado Eu nunca mais vou respirar Se você não me notar Eu posso até morrer de fome Se você não me amar Por você eu largo tudo Vou mendigar, roubar, matar Até nas coisas mais banais Pra mim é tudo ou nunca mais Exagerado Jogado aos teus pés Eu sou mesmo exagerado Adoro um amor inventado Que por você eu largo tudo Carreira, dinheiro, canudo Até nas coisas mais banais Pra mim é tudo ou nunca mais © Editora Sigem 62732030"
"62";"Primeiros Erros";"Capital Inicial";"Meu caminho é cada manhã
Não procure saber onde vou
Meu destino não é de ninguém
E eu não deixo os meus passos no chão
Se você não entende, não vê
Se não me vê, não entende
Não procure saber onde estou
Se o meu jeito te surpreende
Se o meu corpo virasse sol
Se minha mente virasse sol
Mas só chove, chove
Chove, chove
Se um dia eu pudesse ver
Meu passado inteiro
E fizesse parar de chover
Nos primeiros erros
Meu corpo viraria sol
Minha mente viraria
Mas só chove, chove
Chove, chove
Se um dia eu pudesse ver
Meu passado inteiro
E fizesse parar de chover
Nos primeiros erros
Meu corpo viraria sol
Minha mente viraria
Mas só chove, chove
Chove, chove
Meu corpo viraria sol
Minha mente viraria
Mas só chove, chove
Chove, chove
Meu corpo viraria sol
Minha mente viraria...
Mas só chove, chove
Chove, chove"
"63";"Segredo";"Herivelto Martins";"Seu mal é comentar o passado
Ninguém precisa saber
O que houve entre nós dois
O peixe é pro fundo das redes
Segredo é pra quatro paredes
Não deixe que males pequeninos
Venham transformar os nossos destinos
O peixe é pro fundo das redes
Segredo é pra quatro paredes
Primeiro é preciso julgar
Pra depois condenar
Quando o infortúnio nos bate à porta
E o amor nos foge pela janela
A felicidade para nós está morta
E ninguém pode viver sem ela
Para o nosso mal não há remédio, coraçã
Ninguém tem culpa da nossa desunião"
"64";"Jesus Cristo";"Roberto Carlos";"Jesus Cristo, Jesus Cristo
Jesus Cristo, eu estou aqui
Jesus Cristo, Jesus Cristo
Jesus Cristo, eu estou aqui
Olho pro céu e vejo
Uma nuvem branca que vai passando
Olho na terra e vejo
Uma multidão que vai caminhando
Como essa nuvem branca
Essa gente não sabe aonde vai
Quem poderá dizer o caminho certo
É Você meu Pai
Jesus Cristo, Jesus Cristo
Jesus Cristo, eu estou aqui
Jesus Cristo, Jesus Cristo
Jesus Cristo, eu estou aqui
Toda essa multidão
Tem no peito amor e procura a paz
E apesar de tudo
A esperança não se desfaz
Olhando a flor que nasce
No chão daquele que tem amor
Olho pro céu e sinto
Crescer a fé no meu Salvador
Jesus Cristo, Jesus Cristo
Jesus Cristo, eu estou aqui
Jesus Cristo, Jesus Cristo
Jesus Cristo, eu estou aqui
Em cada esquina eu vejo
O olhar perdido de um irmão
Em busca do mesmo bem
Nessa direção caminhando vem
É meu desejo ver
Aumentando sempre essa procissão
Para que todos cantem
Na mesma voz essa oração
Jesus Cristo, Jesus Cristo
Jesus Cristo, eu estou aqui
Jesus Cristo, Jesus Cristo
Jesus Cristo, eu estou aqui
Jesus Cristo, Jesus Cristo
Jesus Cristo, eu estou aqui
Jesus Cristo, Jesus Cristo
Jesus Cristo, eu estou aqui
Jesus Cristo, Jesus Cristo
Jesus Cristo, eu estou aqui
Jesus Cristo, Jesus Cristo
Jesus Cristo, eu estou aqui"
"65";"Cálice";"Chico Buarque";"Pai, afasta de mim esse cálice Pai, afasta de mim esse cálice Pai, afasta de mim esse cálice De vinho tinto de sangue Como beber dessa bebida amarga Tragar a dor, engolir a labuta Mesmo calada a boca, resta o peito Silêncio na cidade não se escuta De que me vale ser filho da santa Melhor seria ser filho da outra Outra realidade menos morta Tanta mentira, tanta força bruta Como é difícil acordar calado Se na calada da noite eu me dano Quero lançar um grito desumano Que é uma maneira de ser escutado Esse silêncio todo me atordoa Atordoado eu permaneço atento Na arquibancada pra a qualquer momento Ver emergir o monstro da lagoa De muito gorda a porca já não anda De muito usada a faca já não corta Como é difícil, pai, abrir a porta Essa palavra presa na garganta Esse pileque homérico no mundo De que adianta ter boa vontade Mesmo calado o peito, resta a cuca Dos bêbados do centro da cidade Talvez o mundo não seja pequeno Nem seja a vida um fato consumado Quero inventar o meu próprio pecado Quero morrer do meu próprio veneno Quero perder de vez tua cabeça Minha cabeça perder teu juízo Quero cheirar fumaça de óleo diesel Me embriagar até que alguém me esqueça 1973 © by Cara Nova Editora Musical Ltda."
"66";"Maná";"Lenine";"Alecrim, lavanda
Cravo e benjoim
Seiva do teu suor
Perfuma o amor assim
Denso com incenso
De âmbar. Cambará
E até no pensamento
Somos um par
Parecidos gomos
Doce o teu limão
E eu lima da pérsia
Almas gêmeas
Rima rica da paixão
Contra a controvérsia
Ai, ai, vem me acelera guaraná
Ai, ai, me espera que tô indo já
Ai, ai, pura proteína, meu maná
Vem me acalmar, maracujá...
Chega mais, pinta e borda
Mel do céu, noz de cola
Ô maná, vem me alimentar
Vem me saciar... ô maná!
Ai, ai, vem me acelera
Guaraná
Ai, ai, me espera que eu tô indo já
Ai, ai, pura proteína, meu maná
Vem me acalmar, maracujá...
Dá meu tom, me acomoda
Meu frisson, me dá corda
Ô maná, vem me saciar
Vem me alimentar... ô maná!"
"67";"O Canto da Cidade";"Daniela Mercury";"A cor dessa cidade sou eu O canto dessa cidade é meu A cor dessa cidade sou eu O canto dessa cidade é meu O gueto, a rua, a fé Eu vou andando a pé pela cidade bonita O toque do afoxé e a força de onde vem Ninguém explica, ela é bonita O gueto, a rua, a fé Eu vou andando a pé pela cidade bonita O toque do afoxé e a força de onde vem Ninguém explica, ela é bonita Uô ô verdadeiro amor Uô ô você vai onde eu vou Uô ô verdadeiro amor Uô ô você vai onde eu vou Não diga que não me quer Não diga que não quer mais Eu sou o silêncio da noite O sol da manhã Mil voltas o mundo tem Mas tem um ponto final Eu sou o primeiro que canta Eu sou o carnaval A cor dessa cidade sou eu O canto dessa cidade é meu A cor dessa cidade sou eu O canto dessa cidade é meu Não diga que não me quer Não diga que não quer mais Eu sou o silêncio da noite O sol da manhã Mil voltas o mundo tem Mas tem um ponto final Eu sou o primeiro que canta Eu sou o carnaval Uô ô verdadeiro amor Uô ô você vai onde eu vou Uô ô verdadeiro amor Uô ô você vai onde eu vou A cor dessa cidade sou eu O canto dessa cidade é meu A cor dessa cidade sou eu O canto dessa cidade é meu"
"68";"Malandrinha";"Francisco Alves";"A lua vem surgindo cor de prata
No alto da montanha verdejante
A lira do cantor em serenata
Reclama na janela a sua amante
Ao som da melodia apaixonada
Das cordas do sonoro violão
Confessa o seresteiro à sua amada
O que dentro lhe dita o coração
Ò linda imagem de mulher que me seduz
Ah se eu pudesse tu estarias num altar
És a rainha dos meus sonhos, és a luz
És malandrinha não precisas trabalhar
Acorda minha bela namorada
A lua nos convida a passear
Seus raios iluminam toda a estrada
Por onde nós havemos de passar
A rua está deserta, oh vem querida
Ouvir bem junto a mim, o som do pinho
E quando a madrugada, é já surgida
Os pombos voltarão para seus ninhos
Ò linda imagem de mulher que me seduz
Ah se eu pudesse tu estarias num altar
És a rainha dos meus sonhos, és a luz
És malandrinha não precisas trabalhar."
"69";"Balancê";"Gal Costa";"Ô balancê balancê
Quero dançar com você
Entra na roda morena pra ver
Ô balancê balancê
Quando por mim você passa
Fingindo que não me vê
Meu coração quase se despedaça
No balancê balancê
Refrão
Você foi minha cartilha
Você foi meu abc
E por isso eu sou a maior maravilha
No balancê balancê
Refrão
Eu levo a vida pensando
Pensando só em você
E o tempo passa e eu vou me acabando
No balancê balancê"
"70";"Anna Julia";"Los Hermanos";"Quem te ver passar assim por mim não sabe o que é sofrer
Ter que ver você assim sempre tão linda
Contemplar o sol do teu olhar, perder você no ar
Na certeza de um amor
Me achar um nada
Pois, sem ter teu carinho eu me sinto sozinho
Eu me afogo em solidão
Oh, Anna Julia
Oh, Anna Julia
Nunca acreditei na ilusão de ter você pra mim
Me atormenta a previsão do nosso destino
Eu passando o dia a te esperar, você sem me notar
Quando tudo tiver fim, você vai estar com um cara
Um alguém sem carinho
Será sempre um espinho dentro do meu coração
Oh, Anna Julia
Oh, Anna Julia
Sei que você já não quer o meu amor
Sei que você já não gosta de mim
Eu sei que eu não sou quem você sempre sonhou
Mas vou reconquistar o seu amor todo pra mim
Oh Anna Julia
Oh Anna Julia
Oh Anna Julia
Oh Anna Julia,Julia,Julia ou, ou ,ou"
"71";"Caminhemos";"Herivelto Martins";"Não, eu não posso lembrar que te amei
Não, eu preciso esquecer que sofri
Faça de conta que o tempo passou
E que tudo entre nós terminou
E que a vida não continuou pra nós dois
Caminhemos
Talvez nos vejamos depois
Vida comprida
Estrada alongada
Parto a procura de alguém
Ou a procura de nada
Vou indo, caminhando
Sem saber onde chegar
Quem sabe na volta
Te encontro no mesmo lugar?"
"72";"Apenas Mais Uma de Amor";"Lulu Santos";"Eu gosto tanto de você
Que até prefiro esconder
Deixo assim ficar
Subentendido
Como uma ideia que existe na cabeça
E não tem a menor obrigação de acontecer
Eu acho tão bonito isso
De ser abstrato, baby
A beleza é mesmo tão fugaz
É uma ideia que existe na cabeça
E não tem a menor pretensão de acontecer
Pode até parecer fraqueza
Pois que seja fraqueza então
A alegria que me dá
Isso vai sem eu dizer
Se amanhã não for nada disso
Caberá só a mim esquecer
O que eu ganho, o que eu perco
Ninguém precisa saber
Eu gosto tanto de você
Que até prefiro esconder
Deixo assim ficar
Subentendido
Como uma ideia que existe na cabeça
E não tem a menor pretensão de acontecer
Pode até parecer fraqueza
Pois que seja fraqueza então
A alegria que me dá
Isso vai sem eu dizer
Se amanhã não for nada disso
Caberá só a mim esquecer
(Eu Vou Sobreviver)
O que eu ganho, o que eu perco
Ninguém precisa saber"
"73";"Nego Dito";"Itamar Assumpção";"Meu nome é
Benedito João dos Santos Silva Beleléu
Vulgo Nego Dito, Nego Dito cascavé
Eu me invoco eu brigo
Eu faço e aconteço
Eu boto pra correr
Eu mato a cobra e mostro o pau
Pra provar pra quem quiser ver e comprovar
Me chamo Benedito João dos Santos Silva Beleléu
Vulgo Nego Dito, Nego Dito cascavé
Tenho o sangue quente
Não uso pente meu cabelo é ruim
Fui nascido em Tietê
Pra provar pra quem quiser ver e comprovar
Me chamo Benedito João dos Santos Silva Beleléu
Vulgo Nego Dito, Nego Dito cascavé
Não gosto de gente
Nem transo parente
Eu fui parido assim
Apaguei um no Paraná, pá, pá, pá, pá
Meu nome é Benedito João dos Santos Silva Beleléu
Vulgo Nego Dito, Nego Dito cascavé
Quando tô de lua
Me mando pra rua pra poder arrumar
Destranco a porta a pontapé
Pra provar pra quem quiser ver e comprovar
Me chamo Benedito João dos Santos Silva Beleléu
Vulgo Nego Dito, Nego Dito cascavé
Se tô tiririca
Tomos umas e outras pra baratinar
Arranco o rabo do satã
Pra provar pra quem quiser ver e comprovar
Me chamo Benedito João dos Santos Silva Beleléu
Vulgo Nego Dito, Nego Dito cascavé
Se chamá polícia
Eu viro uma onça
Eu quero matar
A boca espuma de ódio
Pra provar pra quem quiser ver e comprovar
Me chamo Benedito João dos Santos Silva Beleléu
Vulgo Nego Dito, Nego Dito cascavé
Se chamá polícia
Eu vou cortar tua cara
Vou retalhá-la com navalha"
"74";"Rosa de Hiroshima";"Secos & Molhados";"Pense nas crianças mudas telepáticas Pense nas meninas cegas inexatas Pense nas mulheres, rotas alteradas Pense nas feridas como rosas cálidas Mas só não se esqueça da rosa, da rosa Da rosa de Hiroshima, a rosa hereditária A rosa radiotiva, estúpida, inválida A rosa com cirrose a anti-rosa atômica Sem cor, sem perfume, sem rosa, sem nada"
"75";"Faz Parte do Meu Show";"Cazuza";"Te pego na escola
E encho a tua bola
Com todo o meu amor
Te levo pra festa
E testo o teu sexo
Com ar de professor
Faço promessas malucas
Tão curtas quanto um sonho bom
Se eu te escondo a verdade, baby
É pra te proteger da solidão
Faz parte do meu show
Faz parte do meu show, meu amor
Confundo as tuas coxas
Com as de outras moças
Te mostro toda a dor
Te faço um filho
Te dou outra vida
Pra te mostrar quem sou
Vago na lua deserta
Das pedras do Arpoador
Digo ""alô"" ao inimigo
Encontro um abrigo
No peito do meu traidor
Faz parte do meu show
Faz parte do meu show, meu amor
Invento desculpas
Provoco uma briga
Digo que não estou
Vivo num clip sem nexo
Um pierrô-retrocesso
Meio bossa nova e rock 'n' roll
Faz parte do meu show
Faz parte do meu show, meu amor
© Warner Chappell
63586240"
"76";"A Banda";"Chico Buarque";"Estava à toa na vida
O meu amor me chamou
Pra ver a banda passar
Cantando coisas de amor
A minha gente sofrida
Despediu-se da dor
Pra ver a banda passar
Cantando coisas de amor
O homem sério que contava dinheiro parou
O faroleiro que contava vantagem parou
A namorada que contava as estrelas parou
Para ver, ouvir e dar passagem
A moça triste que vivia calada sorriu
A rosa triste que vivia fechada se abriu
E a meninada toda se assanhou
Pra ver a banda passar
Cantando coisas de amor
O velho fraco se esqueceu do cansaço e pensou
Que ainda era moço pra sair no terraço e dançou
A moça feia debruçou na janela
Pensando que a banda tocava pra ela
A marcha alegre se espalhou na avenida e insistiu
A lua cheia que vivia escondida surgiu
Minha cidade toda se enfeitou
Pra ver a banda passar cantando coisas de amor
Mas para meu desencanto
O que era doce acabou
Tudo tomou seu lugar
Depois que a banda passou
E cada qual no seu canto
Em cada canto uma dor
Depois da banda passar
Cantando coisas de amor
© 1966 by Editora Musical Brasileira Moderna Ltda.
Administrada por Fermata do Brasil"
"77";"Bate Coração";"Elba Ramalho";"Bate, bate, bate, coração
Dentro desse velho peito
Você já está acostumado
A ser maltratado, a não ter direitos
Bate, bate, bate, coração
Não ligue, deixe quem quiser falar, ah!
Porque o que se leva dessa vida, coração
É o amor que a gente tem pra dar (x2)
Oi, tum, tum, bate coração
Oi, tum, coração pode bater
Oi, tum, tum, tum, bate, coração
Que eu morro de amor com muito prazer (x2)
As águas só deságuam para o mar
Meus olhos vivem cheios d'água
Chorando, molhando meu rosto
De tanto desgosto me causando mágoas
Mas meu coração só tem amor, amor!
Era mesmo pra valer, ê
Por isso a gente pena sofre e chora coração
E morre todo dia sem saber (x2)
Oi, tum, tum, bate coração
Oi, tum, coração pode bater
Oi, tum, tum, tum, bate, coração
Que eu morro de amor com muito prazer (x2)
As águas só deságuam para o mar
Meus olhos vivem cheios d'água
Chorando, molhando meu rosto
De tanto desgosto me causando mágoas
Mas meu coração só tem amor, amor!
Era mesmo pra valer, ê
Por isso a gente pena sofre e chora coração
E morre todo dia sem saber (x2)
Oi, tum, tum, bate coração
Oi, tum, coração pode bater
Oi, tum, tum, tum, bate, coração
Que eu morro de amor com muito prazer (x3)"
"78";"Dancin' Days";"Frenéticas";"Abra suas asas, solte suas feras, caia na gandaia, entre nessa festa E leve com vocêee seu sonho mais loouuco Eu quero ver seu corpo, lindo, leve e solto A gente as vezes, sente, sofre, dança, sem querer dançar Na nossa festa vale tudo vale ser alguém como eu, como você Abra suas asas, solte suas feras, caia na gandaia, entre nessa festa E leve com vocêee seu sonho mais loouuco Eu quero ver seu corpo, lindo, leve e solto A gente as vezes, sente, sofre, dança, sem querer dançar Na nossa festa vale tudo vale ser alguém como eu, como você A gente as vezes, sente, sofre, dança, sem querer dançar Na nossa festa vale tudo vale ser alguém como eu, como você Dance bem, dance mal, dance sem parar dance bem, dance até, sem saber dançar Dance bem, dance mal, dance sem parar dance bem, dance até, sem saber dançar Na nossa festa vale tudo vale ser alguém como eu, como você Na nossa festa vale tudo vale ser alguém como eu, como você Na nossa festa vale tudo vale ser alguém como eu, como você Dance bem, dance mal, dance sem parar dance bem, dance até, sem saber dançar Dance bem, dance mal, dance sem parar dance bem, dance até, sem saber dançar Na nossa festa vale tudo vale ser alguém como eu, como você (4x)"
